GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,SEASON,VISITOR_TEAM_ID,WH_STATUS,ATTENDANCE,GAME_DATE,GAME_TIME
20191106/CHIATL,2019-11-06T00:00:00,21900105,3,3,Final,1610612737,     ,4,Q4       - ,,2019,1610612741,1,15049,"WEDNESDAY, NOVEMBER 6, 2019",2:16
20191106/SACTOR,2019-11-06T00:00:00,21900106,4,3,Final,1610612761,     ,4,Q4       - ,,2019,1610612758,1,19800,"WEDNESDAY, NOVEMBER 6, 2019",2:26
20191106/GSWHOU,2019-11-06T00:00:00,21900107,5,3,Final,1610612745,     ,4,Q4       - ESPN,ESPN,2019,1610612744,1,18055,"WEDNESDAY, NOVEMBER 6, 2019",2:14
20191106/MINMEM,2019-11-06T00:00:00,21900108,6,3,Final,1610612763,     ,4,Q4       - ,,2019,1610612750,1,13503,"WEDNESDAY, NOVEMBER 6, 2019",2:16
20191106/ORLDAL,2019-11-06T00:00:00,21900109,7,3,Final,1610612742,     ,4,Q4       - ,,2019,1610612753,1,19487,"WEDNESDAY, NOVEMBER 6, 2019",2:18
20191106/PHIUTA,2019-11-06T00:00:00,21900110,8,3,Final,1610612762,     ,4,Q4       - ,,2019,1610612755,1,18306,"WEDNESDAY, NOVEMBER 6, 2019",2:20
20191106/MILLAC,2019-11-06T00:00:00,21900111,9,3,Final,1610612746,     ,4,Q4       - ESPN,ESPN,2019,1610612749,1,19068,"WEDNESDAY, NOVEMBER 6, 2019",2:38
20191107/BOSCHA,2019-11-07T00:00:00,21900112,1,3,Final,1610612766,     ,4,Q4       - TNT,TNT,2019,1610612738,1,18487,"THURSDAY, NOVEMBER 7, 2019",2:15
20191107/OKCSAS,2019-11-07T00:00:00,21900113,2,3,Final,1610612759,     ,4,Q4       - ,,2019,1610612760,1,18354,"THURSDAY, NOVEMBER 7, 2019",2:06
20191107/MIAPHX,2019-11-07T00:00:00,21900114,3,3,Final,1610612756,     ,4,Q4       - ,,2019,1610612748,1,15498,"THURSDAY, NOVEMBER 7, 2019",2:15
20191107/PORLAC,2019-11-07T00:00:00,21900115,4,3,Final,1610612746,     ,4,Q4       - TNT,TNT,2019,1610612757,1,19068,"THURSDAY, NOVEMBER 7, 2019",2:21
20191108/DETIND,2019-11-08T00:00:00,21900116,1,3,Final,1610612754,     ,4,Q4       - ,,2019,1610612765,1,15544,"FRIDAY, NOVEMBER 8, 2019",2:15
20191108/MEMORL,2019-11-08T00:00:00,21900117,2,3,Final,1610612753,     ,4,Q4       - ,,2019,1610612763,1,17021,"FRIDAY, NOVEMBER 8, 2019",2:07
20191108/CLEWAS,2019-11-08T00:00:00,21900118,3,3,Final,1610612764,     ,4,Q4       - ESPN,ESPN,2019,1610612739,1,16946,"FRIDAY, NOVEMBER 8, 2019",2:15
