GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,DREB,OREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0028400003,1610612738,BOS,Boston,76296,Quinn Buckner,,,17,2,3.0,0.667,0.0,0.0,0.0,2.0,2,1.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,6,
0028400003,1610612738,BOS,Boston,76351,M.L. Carr,,,5,1,2.0,0.5,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,
0028400003,1610612738,BOS,Boston,77141,Dennis Johnson,,,44,12,21.0,0.571,0.0,0.0,0.0,6.0,5,0.833,6.0,4.0,10.0,9.0,0.0,0.0,2.0,4.0,29,
0028400003,1610612738,BOS,Boston,78482,Scott Wedman,,,21,2,7.0,0.286,1.0,0.0,0.0,0.0,0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,4,
0028400003,1610612765,DET,Detroit,940,Earl Cureton,,,13,0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,0,
0028400003,1610612765,DET,Detroit,76154,Kent Benson,,,10,2,3.0,0.667,0.0,0.0,0.0,1.0,1,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,5,
0028400003,1610612765,DET,Detroit,76338,Tony Campbell,,,4,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,
0028400003,1610612765,DET,Detroit,77167,Vinnie Johnson,,,27,6,15.0,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,12,
0028400003,1610612765,DET,Detroit,77415,Sidney Lowe,,,6,2,3.0,0.667,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,4,
0028400003,1610612765,DET,Detroit,78025,Dan Roundfield,,,38,5,17.0,0.294,0.0,0.0,0.0,1.0,1,1.0,7.0,4.0,11.0,3.0,0.0,0.0,2.0,1.0,11,
0028400003,1610612765,DET,Detroit,78318,Isiah Thomas,,,42,13,32.0,0.406,5.0,3.0,0.6,6.0,6,1.0,3.0,3.0,6.0,11.0,2.0,0.0,2.0,3.0,35,
0028400003,1610612765,DET,Detroit,78369,Kelly Tripucka,,,38,6,13.0,0.462,0.0,0.0,0.0,10.0,10,1.0,1.0,1.0,2.0,5.0,2.0,0.0,1.0,3.0,22,
0028400003,1610612765,DET,Detroit,78390,Terry Tyler,,,27,4,7.0,0.571,0.0,0.0,0.0,0.0,0,0.0,5.0,2.0,7.0,1.0,0.0,1.0,1.0,2.0,8,
0028400003,1610612765,DET,Detroit,100263,Bill Laimbeer,,,35,9,18.0,0.5,3.0,1.0,0.333,8.0,5,0.625,8.0,5.0,13.0,2.0,1.0,0.0,0.0,3.0,24,
0028400004,1610612737,ATL,Atlanta,156,Antoine Carr,,,19,4,5.0,0.8,0.0,0.0,0.0,2.0,2,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,3.0,10,
0028400004,1610612737,ATL,Atlanta,470,Doc Rivers,,,31,8,10.0,0.8,0.0,0.0,0.0,4.0,4,1.0,3.0,1.0,4.0,1.0,2.0,0.0,4.0,4.0,20,
0028400004,1610612737,ATL,Atlanta,788,Kevin Willis,,,8,1,3.0,0.333,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2,
